Product Name,Price,Seller,Location,Amount Sold,Rating
"Kylafood Seblak Rempah Autentik 115gr, Seblak Instan Halal",Rp9.405,Brother Meat Shop,Depok,100+ terjual,4.9
Seblak Rafael/Seblak Coet Instan Halal,Rp26.600,Foodstocks,Jakarta Selatan,50+ terjual,5.0
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,3rb+ terjual,4.9
[250 gr] Kerupuk Seblak Pedas,Rp11.500,CamilanJati,Kab. Sidoarjo,40+ terjual,5.0
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,Rp15.000,Lidigeli,Kab. Garut,250+ terjual,4.8
Seblak Instan Komplit Pedas Gurih Nikmat,Rp5.999,Baso Aci Ayang,Kab. Garut,3rb+ terjual,4.9
Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,Rp24.000,Lidigeli,Kab. Garut,100+ terjual,4.8
KERUPUK JABLAY/KERUPUK SEBLAK RASA PEDAS BERAT 250 GRAM,Rp11.500,aurel prima snack,Jakarta Barat,30+ terjual,4.8
Seblak Hot Spicy By Bapper Food / Seblak Instant Khas Bandung,Rp16.800,,,100+ terjual,
Seblak Rafael/Seblak Coet Instan Halal,Rp26.600,,,50+ terjual,
Mie Seblak Geprek Sami Raos Khas Garut Seblak Instant Kekinian 160gr,Rp18.900,,,100+ terjual,
Kerupuk Kampung / Kerupuk Kampoeng / Kerupuk Bawang,Rp18.000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,750+ terjual,4.9
Keripik Ubi Ungu Sari Roso,Rp26.000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,250+ terjual,5.0
Sabring kerupuk seblak jablay pedas Jumbo,Rp15.000,RIKI STORE 97,Kab. Bogor,20 terjual,4.8
Kerupuk indosari gado gado dan seblak,Rp25.900,Agen bawang goreng mas YO,Kab. Bogor,100+ terjual,4.9
kerupuk bawang pedas seblak plastik 250gr,Rp27.500,DRSukses,Jakarta Selatan,17 terjual,5.0
Kerupuk Bawang Seblak Bintang Mentah / Kerupuk Tersanjung 100 gram,Rp4.500,DelimaFCB,Surabaya,19 terjual,5.0
aneka kerupuk mix untuk bahan seblak 100 gr,Rp3.499,aghniya,Tangerang Selatan,100+ terjual,4.9
KERUPUK SEBLAK 250gr / KRUPUK SEBLAK DAUN JERUK / SEBLAK PEDAS,Rp12.500,Dapur Sehat21,Kab. Bandung,100+ terjual,4.9
seblak jengkol pedas / okesnack,Rp16.000,oke snack,Jakarta Selatan,100+ terjual,4.9
Seblak Instan khas bandung,Rp3.500,Gallery Al-aziz,Kab. Bandung,7 terjual,5.0
SEBLAK INSTANT TERMURAH,Rp4.450,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10rb+ terjual,4.8
